class,str_replace,error_reporting,md5,empty,isset,function_exists,substr,explode,fopen,fclose,basename,htmlspecialchars,date,fwrite,base64_decode,filesize,strpos,readdir,eval,unset,getelementbyid,array_merge,stripslashes,strlen,in_array,join,strtolower,ob_start,implode,sprintf,apply_filters
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,9,2,3,1,2,3,4,3,10,6,9,2,4,1,3,2,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,18,1,2,0,4,2,32,15,16,24,5,47,11,10,0,1,1,3,0,0,0,1,1,11,1,1,7,2,5,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,2,5,2,0,4,0,2,1,3,2,1,16,3,0,1,0,1,0,1,5,3,0,2,18,0,1,0,0,2,4,0
malware,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
malware,16,1,2,0,10,4,13,22,7,8,17,0,0,4,2,0,2,1,5,0,31,3,0,2,0,0,12,5,1,2,0
